date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:56:42	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2266b11ffa-239b%22	https://themewagon.github.io/robots.txt		(from )
06:56:43	63551/63551	---M-Z	200	added ('OK')	text/html	etag:W/%22668a6a41-f83f%22	https://themewagon.github.io/LifeSure/	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/index.html	(from )
06:56:44	59305/59305	---MCZ	200	added ('OK')	text/css	etag:W/%22ecd507b3125edc4d2a03aa6ae5d07da9%22	https://use.fontawesome.com/releases/v5.15.4/css/all.css	C:/Mes%20Sites%20Web/tele/use.fontawesome.com/releases/v5.15.4/css/all.css	(from https://themewagon.github.io/LifeSure/)
06:56:44	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/Mes%20Sites%20Web/tele/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://themewagon.github.io/LifeSure/)
06:56:45	16964/16964	---M-Z	200	added ('OK')	text/css	etag:W/%22668a6a41-4244%22	https://themewagon.github.io/LifeSure/lib/animate/animate.min.css	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/lib/animate/animate.min.css	(from https://themewagon.github.io/LifeSure/)
06:56:45	2532/2532	---M-Z	200	added ('OK')	text/css	etag:W/%22668a6a41-9e4%22	https://themewagon.github.io/LifeSure/lib/lightbox/css/lightbox.min.css	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/lib/lightbox/css/lightbox.min.css	(from https://themewagon.github.io/LifeSure/)
06:56:45	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%22668a6a41-b78%22	https://themewagon.github.io/LifeSure/lib/owlcarousel/assets/owl.carousel.min.css	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/lib/owlcarousel/assets/owl.carousel.min.css	(from https://themewagon.github.io/LifeSure/)
06:56:45	164664/164664	---M-Z	200	added ('OK')	text/css	etag:W/%22668a6a41-28338%22	https://themewagon.github.io/LifeSure/css/bootstrap.min.css	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/css/bootstrap.min.css	(from https://themewagon.github.io/LifeSure/)
06:56:46	18713/18713	---M-Z	200	added ('OK')	text/css	etag:W/%22668a6a41-4919%22	https://themewagon.github.io/LifeSure/css/style.css	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/css/style.css	(from https://themewagon.github.io/LifeSure/)
06:56:47	63551/63551	---M-Z	200	added ('OK')	text/html	etag:W/%22668a6a41-f83f%22	https://themewagon.github.io/LifeSure/index.html	C:/Mes%20Sites%20Web/tele/themewagon.github.io/LifeSure/index-2.html	(from https://themewagon.github.io/LifeSure/)
